Num,Latitude,Longitude
213,37.468814,126.477087
214,37.396439,126.654238
215,37.313113,126.846797
216,37.312787,126.748391
217,37.329421,126.707686
218,37.526524,126.812196
219,37.398106,126.679259
220,37.541497,126.683519
221,37.511245,126.775801
222,37.310845,126.744807
223,37.322021,126.723597
224,37.477389,126.797763
225,37.301542,126.771527
226,37.484816,126.439616
227,37.303988,126.797429
228,37.481223,126.453392
229,37.309342,126.747799
230,37.388126,126.646003
231,37.312445,126.747234
232,37.45436,126.71174
233,37.404839,126.697158
234,37.504169,126.722521
235,37.40726,126.702677
236,37.405245,126.738692
237,37.330061,126.831241
238,37.318641,126.860915
239,37.466479,126.680895
240,37.409067,126.702255
241,37.389165,126.644162
242,37.344382,126.700061
243,37.504262,126.721909
244,37.312199,126.74261
245,37.532735,126.787766
246,37.547315,126.673586
247,37.392651,126.645235
248,37.52298,126.766743
249,37.483551,126.75811
250,37.395302,126.732637
251,37.450603,126.705706
252,37.503414,126.766031
253,37.492298,126.659897
254,37.309302,126.827824
255,37.507678,126.698147
256,37.510604,126.722507
257,37.511239,126.784346
258,37.397945,126.651392
259,37.480889,126.771782
260,37.34661,126.690933
261,37.396527,126.649848
262,37.316332,126.727198
263,37.451088,126.708268
264,37.498292,126.721044
265,37.489871,126.708028
266,37.479063,126.655938
267,37.486514,126.47795
268,37.453733,126.705816
269,37.497445,126.718311
270,37.554406,126.64261
271,37.515642,126.741044
272,37.350227,126.709174
273,37.492734,126.718497
274,37.325305,126.759392
275,37.54891,126.64086
276,37.486016,126.716156
277,37.396197,126.641533
278,37.52183,126.768749
279,37.299822,126.865105
280,37.511711,126.785795
281,37.531424,126.780414
282,37.490236,126.711397
283,37.517895,126.743695
284,37.500961,126.703731
285,37.529236,126.77977
286,37.450446,126.698544
287,37.48189,126.745138
288,37.389657,126.716411
289,37.396355,126.645146
290,37.490128,126.713022
291,37.391799,126.715575
292,37.44335,126.697584
293,37.290204,126.869714
294,37.317359,126.733799
295,37.3518,126.71145
296,37.487569,126.721842
297,37.287066,126.866836
298,37.373207,126.638709
299,37.527187,126.73559
300,37.391633,126.72734
301,37.449387,126.690333
302,37.304232,126.796188
303,37.530618,126.778489
304,37.39683,126.734081
305,37.291709,126.864165
306,37.318011,126.732021
307,37.370213,126.642342
308,37.516068,126.704485
309,37.52677,126.780241
310,37.392381,126.634307
311,37.477677,126.684486
312,37.316865,126.733157
313,37.515526,126.705584
314,37.489196,126.73126
315,37.528496,126.765703
316,37.287395,126.862256
317,37.39626,126.651931
318,37.437462,126.675892
319,37.536287,126.734627
320,37.475198,126.685668
321,37.39437,126.710774
322,37.534831,126.737168
323,37.484979,126.768461
324,37.290316,126.849625
325,37.482616,126.6641
326,37.530964,126.651559
327,37.517257,126.720096
328,37.382937,126.631777
329,37.450658,126.667437
330,37.50417,126.75644
331,37.486463,126.77705
332,37.529283,126.652557
333,37.382027,126.633335
334,37.488077,126.776501
335,37.450022,126.653488
336,37.542904,126.743854
337,37.405023,126.728916
338,37.279467,126.852071
339,37.489741,126.772507
340,37.539508,126.647048
341,37.281126,126.84456
342,37.382084,126.654663
343,37.49219,126.772632
344,37.517841,126.784101
345,37.437091,126.64713
346,37.467689,126.651669
347,37.499923,126.484481
348,37.537745,126.63879
349,37.448638,126.638436
350,37.285641,126.83429
351,37.387486,126.64842
352,37.530851,126.646962
353,37.496399,126.687723
354,37.448464,126.633308
355,37.483077,126.628301
356,37.378693,126.64117
357,37.521555,126.718435
358,37.53119,126.722199
359,37.492671,126.489965
360,37.532462,126.604098
361,37.482324,126.620748
362,37.484061,126.68025
363,37.506971,126.788262
364,37.485597,126.679913
365,37.526787,126.621355
366,37.493041,126.685842
367,37.299009,126.833047
368,37.52454,126.622279
369,37.491371,126.67809
370,37.527372,126.623457
371,37.456256,126.705206
